qid	query	matched_qid	matched_query	rank
1030303	who is aziz hashim	1033695	who is ibn ishaq	1
1030303	who is aziz hashim	1035529	who is maajid nawaz	2
1030303	who is aziz hashim	1037649	who is reza shah pahlavi	3
1030303	who is aziz hashim	1043015	who is zaha hadid	4
1030303	who is aziz hashim	1038361	who is shazam?	5
1030303	who is aziz hashim	1033437	who is hariyama the pokemon	6
1030303	who is aziz hashim	1038315	who is shah jahan?	7
1030303	who is aziz hashim	1154332	what is karim rashid known for	8
1030303	who is aziz hashim	1138840	who is ahmed helmy?	9
1030303	who is aziz hashim	334274	how old is amir khan	10
1030303	who is aziz hashim	1057182	who was zaha hadid	11
1030303	who is aziz hashim	203505	hisao nakai	12
1030303	who is aziz hashim	1038397	who is shin chan	13
1030303	who is aziz hashim	1138377	who is rani govindasamy-lucey	14
1030303	who is aziz hashim	334350	how old is aziz ansari	15
1030303	who is aziz hashim	1038074	who is sam nawar?	16
1030303	who is aziz hashim	1138445	who is mohamed farmajo?	17
1030303	who is aziz hashim	911634	what type of doctor is shahram rezaiamiri	18
1030303	who is aziz hashim	1038075	who is sam ramai	19
1030303	who is aziz hashim	1039072	who is the actor for shazam?	20
1030303	who is aziz hashim	1038960	who is tariq nasheed	21
1030303	who is aziz hashim	1038112	who is sandeep rehal?	22
1030303	who is aziz hashim	710333	what is amir khan snapchat name	23
1030303	who is aziz hashim	959789	when was shamu born	24
1030303	who is aziz hashim	1036403	who is nasir khan jan	25
1030303	who is aziz hashim	334329	how old is asa rahmati?	26
1030303	who is aziz hashim	1031295	who is chazz palminteri	27
1030303	who is aziz hashim	1038337	who is sharik	28
1030303	who is aziz hashim	1036397	who is narendra modi?	29
1030303	who is aziz hashim	1035619	who is mamiri?	30
1030303	who is aziz hashim	493080	satoshi nakamoto who is	31
1030303	who is aziz hashim	987086	where is mafumeira sul	32
1030303	who is aziz hashim	1033696	who is ibn khaldun	33
1030303	who is aziz hashim	389606	hussain alsalman jordanian	34
1030303	who is aziz hashim	14992	aishwarya rai father	35
1030303	who is aziz hashim	1038768	who is steven tsoukalas	36
1030303	who is aziz hashim	1029532	who is aamir khan	37
1030303	who is aziz hashim	991316	where is raiwaqa	38
1030303	who is aziz hashim	334328	how old is asa rahmati	39
1030303	who is aziz hashim	1054826	who was malala yousafzai	40
1030303	who is aziz hashim	1035550	who is madara uchiha?	41
1030303	who is aziz hashim	490619	rubaiyat author	42
1030303	who is aziz hashim	1033628	who is honey singh?	43
1030303	who is aziz hashim	1137115	who's priya prakash?	44
1030303	who is aziz hashim	495598	shazam cartoon character	45
1030303	who is aziz hashim	1032378	who is dr. steven nasser?	46
1030303	who is aziz hashim	1033464	who is harvey levin	47
1030303	who is aziz hashim	1030004	who is anajah	48
1030303	who is aziz hashim	1037741	who is rita katz?	49
1030303	who is aziz hashim	1038937	who is takayuki mikami	50
1030303	who is aziz hashim	1033950	who is jagger	51
1030303	who is aziz hashim	1030169	who is arijit singh	52
1030303	who is aziz hashim	1033952	who is jagger?	53
1030303	who is aziz hashim	1044828	who old was iqbal masih	54
1030303	who is aziz hashim	979694	where is chai wan	55
1030303	who is aziz hashim	1032313	who is dr abu	56
1030303	who is aziz hashim	1138693	who is david jolly	57
1030303	who is aziz hashim	1029342	who is  aishwarya rai	58
1030303	who is aziz hashim	988615	where is muadamiyat al - sham	59
1030303	who is aziz hashim	389607	hussain mahmood	60
1030303	who is aziz hashim	1036394	who is narendra modi	61
1030303	who is aziz hashim	583503	what caste is patel	62
1030303	who is aziz hashim	540126	was ibn rushd an arabic	63
1030303	who is aziz hashim	943321	when did zaha hadid become a british subject	64
1030303	who is aziz hashim	1023718	who are amrita rao	65
1030303	who is aziz hashim	1038888	who is swami sivananda	66
1030303	who is aziz hashim	460699	muslim name shakeel defenition	67
1030303	who is aziz hashim	340718	how tall is ashima shiraishi	68
1030303	who is aziz hashim	475584	pitch meaning in urdu	69
1030303	who is aziz hashim	1042775	who is wangari maathai	70
1030303	who is aziz hashim	880843	what nationality is shaika	71
1030303	who is aziz hashim	1033757	who is in moor mahal	72
1030303	who is aziz hashim	340805	how tall is chandra bahadur dangi	73
1030303	who is aziz hashim	1039652	who is the chairman of pakistan	74
1030303	who is aziz hashim	1037364	who is rahul sharma	75
1030303	who is aziz hashim	1029373	who is Rah ali	76
1030303	who is aziz hashim	1032784	who is farid al atrash?	77
1030303	who is aziz hashim	1033472	who is hayakawa	78
1030303	who is aziz hashim	336418	how old is sam punk	79
1030303	who is aziz hashim	1042381	who is tobi naruto	80
1030303	who is aziz hashim	462345	naruto who is tobi	81
1030303	who is aziz hashim	1038434	who is simmi  singh	82
1030303	who is aziz hashim	1172847	nakai flute player	83
1030303	who is aziz hashim	335857	how old is mari takahashi	84
1030303	who is aziz hashim	1035865	who is masashi kishimoto?	85
1030303	who is aziz hashim	17743	anahita roshani	86
1030303	who is aziz hashim	1038364	who is sheikh abdul qadir jilani	87
1030303	who is aziz hashim	1055673	who was the ayatollah khomeini?	88
1030303	who is aziz hashim	540176	was jackie chan in game of death?	89
1030303	who is aziz hashim	495386	shahbaz sharif	90
1030303	who is aziz hashim	1032366	who is dr. maheshwari	91
1030303	who is aziz hashim	1030679	who is blanc chanya	92
1030303	who is aziz hashim	1035632	who is manic the rapper?	93
1030303	who is aziz hashim	1038970	who is tashigi	94
1030303	who is aziz hashim	174632	doli armano ki ishaan real name	95
1030303	who is aziz hashim	417382	is mark ferris	96
1030303	who is aziz hashim	1033434	who is hara?	97
1030303	who is aziz hashim	601769	what country is the name nakesha from	98
1030303	who is aziz hashim	1174552	kaal bhairav rahasya cast	99
1030303	who is aziz hashim	1048451	who plays percival graves	100
1037496	who is rep scalise?	1038173	who is scalise	1
1037496	who is rep scalise?	1055423	who was rudolf hess	2
1037496	who is rep scalise?	887682	what political party does senator scalise belong to	3
1037496	who is rep scalise?	457195	most conservative supreme court judge	4
1037496	who is rep scalise?	1035443	who is lorraine livingston	5
1037496	who is rep scalise?	1053334	who was arnold schwarzenegger?	6
1037496	who is rep scalise?	1054501	who was johannes kepler	7
1037496	who is rep scalise?	92336	chuck schumer u.s. senate	8
1037496	who is rep scalise?	1035837	who is marty schwartz	9
1037496	who is rep scalise?	1049142	who ran against schwarzenegger california	10
1037496	who is rep scalise?	1041868	who is the swing vote on the supreme court	11
1037496	who is rep scalise?	1037037	who is pete scalia	12
1037496	who is rep scalise?	1055321	who was reinhard heydrich	13
1037496	who is rep scalise?	1036742	who is on the supreme court justice	14
1037496	who is rep scalise?	1033258	who is golf coach bob kepler	15
1037496	who is rep scalise?	1031053	who is captain maximus	16
1037496	who is rep scalise?	951710	when is scalise up for reelection	17
1037496	who is rep scalise?	145031	did scalia die with a pillow on his face	18
1037496	who is rep scalise?	599311	what committees did he currently serve on	19
1037496	who is rep scalise?	415122	is jk rowling a conservative	20
1037496	who is rep scalise?	1036794	who is our present vp	21
1037496	who is rep scalise?	1033889	who is j. m. synge	22
1037496	who is rep scalise?	114463	curtis shacklett	23
1037496	who is rep scalise?	1024093	who are the commentators on the us open golf	24
1037496	who is rep scalise?	1038414	who is shubble	25
