qid	query	matched_qid	matched_query	rank
915593	what types of food can you cook sous vide	1022529	which vegetable is great for sous vide	1
915593	what types of food can you cook sous vide	378345	how to say I cook in french	2
915593	what types of food can you cook sous vide	151148	different ways to cook celery	3
915593	what types of food can you cook sous vide	150304	different types of commercial cooking	4
915593	what types of food can you cook sous vide	368883	how to make french fries baked	5
915593	what types of food can you cook sous vide	581860	what can i cook with what i have	6
915593	what types of food can you cook sous vide	149903	different methods to cooking baby hake	7
915593	what types of food can you cook sous vide	734646	what is cooking en salsa verde	8
915593	what types of food can you cook sous vide	352731	how to cook romanesco vegetable	9
915593	what types of food can you cook sous vide	156970	do i need a recipe for baking	10
915593	what types of food can you cook sous vide	369930	how to make tortilla strips	11
915593	what types of food can you cook sous vide	363533	how to grill corn with foil	12
915593	what types of food can you cook sous vide	563457	what are popular dishes in argentina	13
915593	what types of food can you cook sous vide	485948	recipe mini vegetable fritters	14
915593	what types of food can you cook sous vide	936961	when cooking vegetables which method would be most suitable	15
915593	what types of food can you cook sous vide	369744	how to make spanish tortillas	16
915593	what types of food can you cook sous vide	352240	how to cook boil crab, potatoes, chicken	17
915593	what types of food can you cook sous vide	1155043	cooking synonyms	18
915593	what types of food can you cook sous vide	367571	how to make a french dip au jus	19
915593	what types of food can you cook sous vide	344307	how to bake bacon strips	20
915593	what types of food can you cook sous vide	3507	How do you a convection oven for cooking	21
915593	what types of food can you cook sous vide	682937	what is a favorite dish in france	22
915593	what types of food can you cook sous vide	458606	most popular dishes in france	23
915593	what types of food can you cook sous vide	346228	how to broil,bake vegetables	24
915593	what types of food can you cook sous vide	76597	can you cook food	25
915593	what types of food can you cook sous vide	344494	how to bake turbot fish	26
915593	what types of food can you cook sous vide	527802	types of food in france	27
915593	what types of food can you cook sous vide	221598	how do you cook belly pork strips	28
915593	what types of food can you cook sous vide	223291	how do you oven sear lamb	29
915593	what types of food can you cook sous vide	565749	what are some popular foods in france	30
915593	what types of food can you cook sous vide	75927	can you bake cakes/biscuits in a mini convection oven	31
915593	what types of food can you cook sous vide	78643	can you make scotch eggs in the oven	32
915593	what types of food can you cook sous vide	369017	how to make home fries camping	33
915593	what types of food can you cook sous vide	549398	what accessories to use for microwave convection baking	34
915593	what types of food can you cook sous vide	916476	what vegetable can be grilled	35
915593	what types of food can you cook sous vide	869771	what kind of olives are used in morroccan cooking	36
915593	what types of food can you cook sous vide	151149	different ways to cook wild turkey breast	37
915593	what types of food can you cook sous vide	911022	what type of cheese is queso fresco	38
915593	what types of food can you cook sous vide	565754	what are some popular french foods	39
915593	what types of food can you cook sous vide	368892	how to make fries baked	40
915593	what types of food can you cook sous vide	582549	what can you cook in a convection toaster oven	41
915593	what types of food can you cook sous vide	369549	how to make ramen recipes	42
915593	what types of food can you cook sous vide	368973	how to make great baked french fries	43
915593	what types of food can you cook sous vide	352307	how to cook chanterelles	44
915593	what types of food can you cook sous vide	80554	can you use chicken breasts for rotisserie chicken recipes?	45
915593	what types of food can you cook sous vide	83748	casuals dishes can be used in oven	46
915593	what types of food can you cook sous vide	80754	can you use olive oil instead of vegtable oil in making cakes	47
915593	what types of food can you cook sous vide	352617	how to cook pork belly strips in oven	48
915593	what types of food can you cook sous vide	363530	how to grill corn on the co	49
915593	what types of food can you cook sous vide	576074	what are traditional french dishes	50
915593	what types of food can you cook sous vide	660210	what food can you cook in an air fryer	51
915593	what types of food can you cook sous vide	559476	what are good examples of carbs	52
915593	what types of food can you cook sous vide	76618	can you cook/bake bing cherries	53
915593	what types of food can you cook sous vide	78612	can you make frozen french fries on the grill	54
915593	what types of food can you cook sous vide	182611	examples of carbohydrates foods	55
915593	what types of food can you cook sous vide	363630	how to grill vegetables in oven	56
915593	what types of food can you cook sous vide	472112	pasteles recipe a traditional puerto	57
915593	what types of food can you cook sous vide	268113	how long to bake chicken breasts at 350 in foil	58
915593	what types of food can you cook sous vide	78039	can you grill at the beach	59
915593	what types of food can you cook sous vide	353611	how to create multiple recipes in chef	60
915593	what types of food can you cook sous vide	352377	how to cook dungeness crab	61
915593	what types of food can you cook sous vide	929832	what's a recipe for chicken casserole	62
915593	what types of food can you cook sous vide	78043	can you grill patty pan squash	63
915593	what types of food can you cook sous vide	356024	how to do oven baked chicken le	64
915593	what types of food can you cook sous vide	369373	how to make old el paso soft taco bake	65
915593	what types of food can you cook sous vide	352510	how to cook in a convection oven	66
915593	what types of food can you cook sous vide	521740	tips on how to grill lamb chops	67
915593	what types of food can you cook sous vide	352611	how to cook poached eggs in a sous vide	68
915593	what types of food can you cook sous vide	596803	what clothing is worn for cooking	69
915593	what types of food can you cook sous vide	68407	can i bake crab cakes	70
915593	what types of food can you cook sous vide	906147	what to cook that is healthy for breastfeeding moms	71
915593	what types of food can you cook sous vide	26461	argentina most popular dishes	72
915593	what types of food can you cook sous vide	352626	how to cook pork chops in convection gas oven	73
915593	what types of food can you cook sous vide	182662	examples of food that provide carbohydrates	74
915593	what types of food can you cook sous vide	368981	how to make grilled vegetables?	75
915593	what types of food can you cook sous vide	363548	how to grill lamb chops in electric oven	76
915593	what types of food can you cook sous vide	352304	how to cook celery	77
915593	what types of food can you cook sous vide	150923	different types of squash recipes	78
915593	what types of food can you cook sous vide	1159123	what healthy food to bake in an oven	79
915593	what types of food can you cook sous vide	352827	how to cook tamales oven	80
915593	what types of food can you cook sous vide	500751	sous vide eggs defined	81
915593	what types of food can you cook sous vide	371808	how to oven cook carne asada	82
915593	what types of food can you cook sous vide	485939	recipe for how to cook pork belly	83
915593	what types of food can you cook sous vide	393267	in baking what can i substitute for rum	84
915593	what types of food can you cook sous vide	160122	do you cook endive	85
915593	what types of food can you cook sous vide	908164	what to use instead of parchment paper	86
915593	what types of food can you cook sous vide	352890	how to cook wild turkey breast recipes	87
915593	what types of food can you cook sous vide	444806	making pork dumplings can i use regular cabbabge	88
915593	what types of food can you cook sous vide	5548	Pomme de Terre Recipe	89
915593	what types of food can you cook sous vide	352553	how to cook london broil in oven pinterest	90
915593	what types of food can you cook sous vide	369164	how to make lamb loin chops in the oven	91
915593	what types of food can you cook sous vide	371815	how to oven grill chicken breast	92
915593	what types of food can you cook sous vide	80930	can you use wax paper instead of parchment	93
915593	what types of food can you cook sous vide	363542	how to grill hamburgers flay	94
915593	what types of food can you cook sous vide	536007	vegetable oil substitute baking	95
915593	what types of food can you cook sous vide	697086	what is a queso fresco taco?	96
915593	what types of food can you cook sous vide	351926	how to cook a dungeness crab	97
915593	what types of food can you cook sous vide	99413	cooking without fire recipes for competition veg	98
915593	what types of food can you cook sous vide	344316	how to bake carrots	99
915593	what types of food can you cook sous vide	344409	how to bake lamb rack	100
794429	what is sculpture shape space	401179	is a type of sculpture that was inspired by forms and processes from nature.	1
794429	what is sculpture shape space	794430	what is sculptures	2
794429	what is sculpture shape space	699663	what is a shape of art	3
794429	what is sculpture shape space	500888	space art definition	4
794429	what is sculpture shape space	673447	what is a Sculpture	5
794429	what is sculpture shape space	495465	shape art definition	6
794429	what is sculpture shape space	619707	what did sculptures represent	7
794429	what is sculpture shape space	700178	what is a site specific sculpture?	8
794429	what is sculpture shape space	673352	what is a Freestanding artwork that occupies space and can be viewed from all sides.	9
794429	what is sculpture shape space	601810	what counts as a sculpture	10
794429	what is sculpture shape space	794427	what is sculpture as environment	11
794429	what is sculpture shape space	798422	what is spatial representation in art	12
794429	what is sculpture shape space	992727	where is shape mons	13
794429	what is sculpture shape space	519969	this relief sculpture was intended to show _________________	14
794429	what is sculpture shape space	27075	artistic form definition	15
794429	what is sculpture shape space	750699	what is geometric art	16
794429	what is sculpture shape space	893373	what shape is the earth meme	17
794429	what is sculpture shape space	1009561	which figure could be used as a tessellation?	18
794429	what is sculpture shape space	1011376	which is an example of relief sculpture?	19
794429	what is sculpture shape space	393648	in sculpture what is the most popular modeling material	20
794429	what is sculpture shape space	1005675	which artistic movement was committed to depicting objects as realistically as possible	21
794429	what is sculpture shape space	563499	what are positive shapes in art history	22
794429	what is sculpture shape space	719988	what is artistic gymnastics	23
794429	what is sculpture shape space	493988	sculpture definition types statues reliefs	24
794429	what is sculpture shape space	495470	shape definition	25
794429	what is sculpture shape space	194397	geometric shapes definitions	26
794429	what is sculpture shape space	524029	translation of a shape definition	27
794429	what is sculpture shape space	354649	how to describe the construction of a marble in a sculpture	28
794429	what is sculpture shape space	893374	what shape is the earth'	29
794429	what is sculpture shape space	425512	is terracotta an art form	30
794429	what is sculpture shape space	618839	what did cubism do to the figure	31
794429	what is sculpture shape space	893409	what shapes landforms	32
794429	what is sculpture shape space	663620	what genre is stick figure	33
794429	what is sculpture shape space	960523	when was the contemporary sculpture era	34
794429	what is sculpture shape space	274096	how make a concrete form for statue	35
794429	what is sculpture shape space	850588	what is the term for a shape that can be placed over another	36
794429	what is sculpture shape space	816668	what is the difference between a statue and a sculpture	37
794429	what is sculpture shape space	457890	most famous free standing sculpture	38
794429	what is sculpture shape space	427469	is the study of the themes and symbols in the visual arts: the figures and images that lend works their underlying meanings.	39
794429	what is sculpture shape space	861698	what is volume of a figure	40
794429	what is sculpture shape space	876199	what man made objects are in space?	41
794429	what is sculpture shape space	565363	what are some examples in sculpture techniques	42
794429	what is sculpture shape space	1155526	what is draw	43
794429	what is sculpture shape space	146322	difference between additive and subtractive sculpture	44
794429	what is sculpture shape space	1016236	which of these materials can be used to create a sculpture?	45
794429	what is sculpture shape space	849052	what is the study of the physical layout of the earth	46
794429	what is sculpture shape space	1079450	words to describe chiseling a sculpture	47
794429	what is sculpture shape space	446016	math meaning of two dimensional figure	48
794429	what is sculpture shape space	842000	what is the purpose of a monument	49
794429	what is sculpture shape space	537537	visio shapes definition	50
794429	what is sculpture shape space	838255	what is the outer surface of a statue called	51
794429	what is sculpture shape space	8421	Who was the sculptor who believed that the only stable thing is movement	52
794429	what is sculpture shape space	536530	vertex geometric figure definition	53
794429	what is sculpture shape space	671315	what inspired cellini to be a sculpture	54
794429	what is sculpture shape space	761185	what is it called when art is cut into shapes	55
794429	what is sculpture shape space	532495	unity can be achieved by placement of elements in a work of art.	56
794429	what is sculpture shape space	719992	what is artistic value?	57
794429	what is sculpture shape space	338922	how similar was the peplos kore statue to egyptian sculpture?	58
794429	what is sculpture shape space	393413	in gymnosperms, what structure does the microspore represent?	59
794429	what is sculpture shape space	625488	what do the visio shapes mean	60
794429	what is sculpture shape space	711270	what is an african sculpture	61
794429	what is sculpture shape space	722120	what is balance in art	62
794429	what is sculpture shape space	567336	what are the basic shapes	63
794429	what is sculpture shape space	1005935	which bear is the monument for teddy roosevelt	64
794429	what is sculpture shape space	6309	The purpose of drawing is	65
794429	what is sculpture shape space	739513	what is difference between pointillism, cubism and realism	66
794429	what is sculpture shape space	846423	what is the shape of the moon	67
794429	what is sculpture shape space	538216	volcanic landform definition	68
794429	what is sculpture shape space	151195	different word for depiction	69
794429	what is sculpture shape space	500890	space element of art definition	70
794429	what is sculpture shape space	725066	what is body art	71
794429	what is sculpture shape space	807173	what is the average size of a monument	72
794429	what is sculpture shape space	117984	define artistic conventions in relation to realism	73
794429	what is sculpture shape space	968007	where can the love sculpture be located	74
794429	what is sculpture shape space	929643	what's a graphic novel	75
794429	what is sculpture shape space	638189	what does geomorphic	76
794429	what is sculpture shape space	1181631	how do you describe shape of rock	77
794429	what is sculpture shape space	770171	what is meant when it says describe the context that shape practice	78
794429	what is sculpture shape space	1073298	why learn about 2d shapes	79
794429	what is sculpture shape space	27080	artists __________ created a movement known as cubism	80
794429	what is sculpture shape space	449196	meaning of shape, form, color, texture,	81
794429	what is sculpture shape space	1155857	what is construction drawing	82
794429	what is sculpture shape space	467689	objectifying definition	83
794429	what is sculpture shape space	561387	what are major artforms in mongolia	84
794429	what is sculpture shape space	393026	importance of geometry in life	85
794429	what is sculpture shape space	931708	what's the difference between form and shape	86
794429	what is sculpture shape space	750766	what is geotechnical design	87
794429	what is sculpture shape space	565311	what are some differences between a polygon and a solid shape	88
794429	what is sculpture shape space	177999	edit shape definition	89
794429	what is sculpture shape space	743476	what is embellished art	90
794429	what is sculpture shape space	634257	what does chalk mean in art	91
794429	what is sculpture shape space	122005	define graphic novels	92
794429	what is sculpture shape space	501006	spatial imagery definition	93
794429	what is sculpture shape space	27	 continental shape geological simularities	94
794429	what is sculpture shape space	175694	drawing definition	95
794429	what is sculpture shape space	580701	what can affect the shape of land besides meteorites	96
794429	what is sculpture shape space	752528	what is graphic expression	97
794429	what is sculpture shape space	576355	what are two kinds of scale present in a work of art	98
794429	what is sculpture shape space	1154444	what is it called when the stars make shapes	99
794429	what is sculpture shape space	722514	what is based on physical features geography	100
801118	what is supplemental security income used for	807943	what is the benefit access program	1
801118	what is supplemental security income used for	129866	defined benefit plan	2
801118	what is supplemental security income used for	680690	what is a defined benefit pension plan	3
801118	what is supplemental security income used for	129857	defined benefit (db) pension plan	4
801118	what is supplemental security income used for	565199	what are some benefits depository institutions can provide	5
801118	what is supplemental security income used for	207819	how are supplemental income	6
801118	what is supplemental security income used for	50120	benefit plan diversification	7
801118	what is supplemental security income used for	1604	7 eleven benefits	8
801118	what is supplemental security income used for	912864	what type of income are pensions	9
801118	what is supplemental security income used for	400883	is a sep ira a defined benefit plan	10
801118	what is supplemental security income used for	680689	what is a defined benefit pension	11
801118	what is supplemental security income used for	694241	what is a pension scheme?	12
801118	what is supplemental security income used for	392759	immigration benefits	13
801118	what is supplemental security income used for	129881	defined benefit retirement plan	14
801118	what is supplemental security income used for	425016	is supplemental security income need based	15
801118	what is supplemental security income used for	397381	interoil contingency resource payments	16
801118	what is supplemental security income used for	50116	benefit payments pensions	17
801118	what is supplemental security income used for	50125	benefit programs defined	18
801118	what is supplemental security income used for	713485	what is an employee benefit plan	19
801118	what is supplemental security income used for	67120	can esop own a defined benefit plan	20
801118	what is supplemental security income used for	129865	defined benefit pension plan types	21
801118	what is supplemental security income used for	683501	what is a flexible benefit plan	22
801118	what is supplemental security income used for	129877	defined benefit plan insurance	23
801118	what is supplemental security income used for	184083	explanation of benefits form	24
801118	what is supplemental security income used for	822530	what is the function of life insurance in an ilit	25
801118	what is supplemental security income used for	723236	what is benefit revenue	26
801118	what is supplemental security income used for	673114	what is a  net benefit	27
801118	what is supplemental security income used for	161090	do you pay nic on pension income	28
801118	what is supplemental security income used for	1156044	what is cin number on benefit card	29
801118	what is supplemental security income used for	674528	what is a benefit review conference	30
801118	what is supplemental security income used for	390857	icl defined benefit plan	31
801118	what is supplemental security income used for	236514	how is defined benefit configured	32
801118	what is supplemental security income used for	464584	nis maternity benefits	33
801118	what is supplemental security income used for	558135	what are elective benefits	34
801118	what is supplemental security income used for	734696	what is coordination of benefits oxford	35
801118	what is supplemental security income used for	129871	defined benefit plan disadvantages	36
801118	what is supplemental security income used for	50162	benefits at a glance	37
801118	what is supplemental security income used for	115885	dbi benefits	38
801118	what is supplemental security income used for	801113	what is supplemental life plan	39
801118	what is supplemental security income used for	1059881	wht is defined benefit plan	40
801118	what is supplemental security income used for	392592	illinois public assistance benefits	41
801118	what is supplemental security income used for	206840	how a pension plan works	42
801118	what is supplemental security income used for	674527	what is a benefit plan sponsor	43
801118	what is supplemental security income used for	758672	what is income for tax purposes	44
801118	what is supplemental security income used for	130780	definition for benefits	45
801118	what is supplemental security income used for	112810	criteria for ei benefits based on economic region	46
801118	what is supplemental security income used for	227204	how does pension plan work	47
801118	what is supplemental security income used for	9295	a list of benefits	48
801118	what is supplemental security income used for	715486	what is an insurance supplement plan	49
801118	what is supplemental security income used for	578772	what benefits do seiu employees get	50
801118	what is supplemental security income used for	758671	what is income for social security purposes	51
801118	what is supplemental security income used for	50124	benefit principle of taxation	52
801118	what is supplemental security income used for	70293	can income protection protect p11d benefits?	53
801118	what is supplemental security income used for	702273	what is a supplemental pension	54
801118	what is supplemental security income used for	748436	what is for benefit of check	55
801118	what is supplemental security income used for	491388	salary continuance and ei benefits	56
801118	what is supplemental security income used for	1018670	which retirement plan is a defined benefit plan?	57
801118	what is supplemental security income used for	499807	social security assistance	58
801118	what is supplemental security income used for	662713	what fringe benefits are taxable	59
801118	what is supplemental security income used for	566175	what are standard benefits	60
801118	what is supplemental security income used for	782563	what is pension plan	61
801118	what is supplemental security income used for	50123	benefit premium	62
801118	what is supplemental security income used for	166461	does foreign income allow ira contributions	63
801118	what is supplemental security income used for	662491	what forms of income can go into a sep ira	64
801118	what is supplemental security income used for	420659	is pension earned income?	65
801118	what is supplemental security income used for	1149847	what is the ortho lifetime benefit cigna	66
801118	what is supplemental security income used for	1183597	expandit mobile benefits	67
801118	what is supplemental security income used for	430326	is uit supplemental information taxable	68
801118	what is supplemental security income used for	1175574	illinois employment benefits	69
801118	what is supplemental security income used for	582274	what can personal leave be used for	70
801118	what is supplemental security income used for	393563	in network benefits definition	71
801118	what is supplemental security income used for	1014351	which of the following are characteristics of defined benefit plans?	72
801118	what is supplemental security income used for	696096	what is a private exchange for benefits mean	73
801118	what is supplemental security income used for	402571	is an esop considered a defined contribution or defined benefit plan	74
801118	what is supplemental security income used for	742233	what is earned income for tax purposes	75
801118	what is supplemental security income used for	713111	what is an educational savings plan	76
801118	what is supplemental security income used for	722553	what is basic income guarantee	77
801118	what is supplemental security income used for	129869	defined benefit plan contribution funding	78
801118	what is supplemental security income used for	467467	nyc identification benefits	79
801118	what is supplemental security income used for	989881	where is other comprehensive income	80
801118	what is supplemental security income used for	129883	defined benefit to defined contribution savings	81
801118	what is supplemental security income used for	723228	what is benefit cheat	82
801118	what is supplemental security income used for	426216	is the empire plan unlimited benefits?	83
801118	what is supplemental security income used for	178107	education tax benefit	84
801118	what is supplemental security income used for	629828	what does a pension plan do	85
801118	what is supplemental security income used for	467944	ocuvite benefits	86
801118	what is supplemental security income used for	531680	ump benefits	87
801118	what is supplemental security income used for	129868	defined benefit plan buy-in buy-out	88
801118	what is supplemental security income used for	479169	ppaca excepted benefits	89
801118	what is supplemental security income used for	723241	what is benefits determination	90
801118	what is supplemental security income used for	432499	iu retirement benefits	91
801118	what is supplemental security income used for	225375	how does american opportunity tax credit work	92
801118	what is supplemental security income used for	570593	what are the income taxes on pensions?	93
801118	what is supplemental security income used for	24664	are required distributions defined benefit plans	94
801118	what is supplemental security income used for	431080	is vsip earned income for social security	95
801118	what is supplemental security income used for	387772	how was the grant used	96
801118	what is supplemental security income used for	859025	what is unemployment benefits	97
801118	what is supplemental security income used for	16466	america social security system employee benefits	98
801118	what is supplemental security income used for	691338	what is a modified benefit whole life	99
801118	what is supplemental security income used for	576664	what are va benefits	100
190044	foods to detox liver naturally	681025	what is a detox meal	1
190044	foods to detox liver naturally	582944	what can you use in place of vanilla?	2
190044	foods to detox liver naturally	582818	what can you make with vanilla extract	3
190044	foods to detox liver naturally	373049	how to prepare detox diet	4
190044	foods to detox liver naturally	826021	what is the ingredients for detox water	5
190044	foods to detox liver naturally	7735	What kind of food did they use vanilla in	6
190044	foods to detox liver naturally	582050	what can i substitute for vanilla extract	7
190044	foods to detox liver naturally	355625	how to do a natural detox cleanse at home	8
190044	foods to detox liver naturally	580903	what can be used instead of vanilla extract	9
190044	foods to detox liver naturally	189691	foods that naturally detox the liver	10
190044	foods to detox liver naturally	570618	what are the ingredients for homemade resin	11
190044	foods to detox liver naturally	881207	what natural laxative	12
190044	foods to detox liver naturally	142412	detox diet definition	13
190044	foods to detox liver naturally	200090	healthiest organic meal drinks	14
190044	foods to detox liver naturally	582982	what can you use to substitute for vanilla flavor	15
190044	foods to detox liver naturally	876676	what meal has beta carotene	16
190044	foods to detox liver naturally	660814	what foods are a natural laxative	17
190044	foods to detox liver naturally	656123	what drugs take for detox from alcohol	18
190044	foods to detox liver naturally	881218	what natural product can i use for nausea	19
190044	foods to detox liver naturally	570724	what are the ingredients in spring rolls	20
190044	foods to detox liver naturally	553086	what alcohol should you mix with cherries	21
